,0.00821917808219178,0.010958904109589041,0.019178082191780823,0.021917808219178082,0.024657534246575342,0.0273972602739726
620.0,1.3563292385798533,1.3238609776050123,1.1817732343577054,0.8705195342503291,0.8913102472466439,0.9366120051577465
625.0,1.34297278234048,,1.0919335292179753,0.9361418149879883,0.8545255950655812,0.8041406191876437
630.0,1.1936071101401393,1.3442928587258285,0.8409850374030174,0.8956680326870166,0.8085390441643776,0.5585191690403233
635.0,1.3654863588447141,1.1751892329402334,0.991353385221913,0.4685216929205044,0.7037759288633123,
640.0,1.321456681967749,0.8249997595263561,0.5587633622701853,0.8270312338481416,0.8520100746014956,0.6033627272114195
645.0,1.2669834243218254,1.1612875150561832,0.6635010215545487,0.8303240260037108,0.7163284631470188,
650.0,0.9589370145525247,0.796251803724932,0.8003337234829224,0.6122980641893918,,0.7926246183352452
655.0,1.1164162909035915,0.8272949153993199,0.8799052572956372,0.7112321068630776,0.7280680504636801,0.6212967797946487
660.0,1.172311035446699,1.1127583036187958,0.8348010236716155,0.7016964286503928,0.5659201876919151,
665.0,0.7740710652220657,0.9427114719437717,0.6221740985872,0.7030128587282543,0.6628941713850662,0.4244450596799698
670.0,1.130160900088859,0.8954910512453371,0.6184720301949076,0.7004581776816909,0.5790221555293176,0.39154210144360224
675.0,0.9206846304028649,0.5389949852269273,0.6802438199728715,0.6797922328964148,0.5727031437019354,0.4228680595914507
680.0,0.8186173703345228,0.8338818274608479,0.721221658671455,0.5904236049634419,0.4832500386273032,0.5447682382052528
685.0,0.893431079053632,0.7273282788883868,0.6069556632899935,0.5673568680227061,0.4353264095756313,0.47687084350126585
690.0,0.7178078917794897,0.7801092848020927,0.5702009799614671,0.5831474102649095,0.47413351659046354,0.5447275380901782
695.0,0.5817082109575871,0.6140812750051452,0.5085123768249469,0.4648190291275084,0.501464015912269,0.3459830320721763
700.0,0.5163630425335037,0.5649393004844838,0.4923223432715945,0.4915265254307275,0.44107683048038837,0.42746365654476004
705.0,0.7106202271351689,0.6124519518190263,0.49661242163070773,0.4162467734947999,0.4236710281097297,0.41262969316918374
710.0,0.5628055139528079,0.5559802722196605,0.39348866302442687,0.4118720069335049,0.406423266482562,0.3389033252446785
715.0,0.5617910599013496,0.596483235954488,0.4012055111270144,0.42086348157899445,0.3442657581072084,0.38407196302901714
720.0,0.5716519405231579,0.5238338281235968,0.3500695119092496,0.37173136722231137,0.31871296338565425,0.3713659231716615
721.0,0.500870451061066,0.4466117958703234,0.3507022250156392,0.36290917371980147,0.35012381505001966,0.2979637746162036
722.0,0.616718284929149,0.45516080054161956,0.3596794972011206,0.3798798499712618,0.3411320676970926,0.329039813215514
723.0,0.6108484245209562,0.40702173329827085,0.3833942223262823,0.35797218678603104,0.3585277179532471,0.32751740294776976
724.0,0.549582203809001,0.4097893247351527,0.3562507418565538,0.3408836924559987,0.33165259722258,0.32057239249684333
725.0,0.5818954263250928,0.5289485471382167,0.37127067961367566,0.33999303754215804,0.33187379907769443,0.3283631431126386
726.0,0.5060111471332591,0.4836204487018083,0.3906216108345245,0.3541714105190644,0.2860135781277132,0.3335559120549745
727.0,0.5053744809627376,0.42044027530775696,0.3795466219426423,0.3590816195506198,0.3210709174886781,0.2871595392215932
728.0,0.5258359605357348,0.46717775513869075,0.3268438559951149,0.34455778063274,0.30457352350659284,0.3188989597869756
729.0,0.49013183707492136,0.4459785175939246,0.3542615071092251,0.3040347735415412,0.3080627948657122,0.3044305175862899
730.0,0.504340179664702,0.4128765265939397,0.27903667742848115,0.3168956905696758,0.31248490464596435,0.29276941826910785
731.0,0.49610476201883247,0.42568344579139816,0.3463401054947022,0.3138222154069449,0.32846848104767723,0.3090486105917113
732.0,0.45809749276413525,0.4447382303439026,0.31755176882766767,0.2944494320962471,0.304870727716272,0.2786008535276705
733.0,0.4757549174911454,0.4390657141119182,0.30835926072849673,0.3153422012082995,0.2911332322065341,0.2845122670928446
734.0,0.457610297485987,0.4141258496496769,0.3054680784628434,0.2964363332866381,0.2785027842028568,0.2822634732600422
