,0.010958904109589041,0.019178082191780823,0.024657534246575342
287.5,26.17,25.89,26.36
290.0,24.064999999999998,23.58,23.93
292.5,21.34,21.67,21.564999999999998
295.0,18.485,18.65,19.445
297.5,16.439999999999998,16.8,17.285
300.0,13.925,13.775,14.64
302.5,11.735,12.405000000000001,12.79
